seqID,syll_1,syll_2,syll_3,syll_4,syll_5,syll_6
seq_0129,A2_e_d.mp3,B2_o_t.mp3,A1_e_b.mp3,B1_o_p.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0130,A2_e_d.mp3,B2_o_t.mp3,A1_e_b.mp3,B1_u_p.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0131,A2_e_d.mp3,B2_o_t.mp3,A1_e_b.mp3,B1_u_p.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0132,A2_e_d.mp3,B2_u_t.mp3,A1_e_b.mp3,B1_o_p.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0133,A2_e_d.mp3,B2_u_t.mp3,A1_e_b.mp3,B1_o_p.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0134,A2_e_d.mp3,B2_u_t.mp3,A1_e_b.mp3,B1_u_p.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0135,A2_e_d.mp3,B2_u_t.mp3,A1_e_b.mp3,B1_u_p.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0136,A2_e_d.mp3,B2_o_t.mp3,A1_e_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0137,A2_e_d.mp3,B2_o_t.mp3,A1_e_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0138,A2_e_d.mp3,B2_o_t.mp3,A1_e_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0139,A2_e_d.mp3,B2_o_t.mp3,A1_e_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0140,A2_e_d.mp3,B2_u_t.mp3,A1_e_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0141,A2_e_d.mp3,B2_u_t.mp3,A1_e_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0142,A2_e_d.mp3,B2_u_t.mp3,A1_e_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0143,A2_e_d.mp3,B2_u_t.mp3,A1_e_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0144,A2_e_d.mp3,B2_o_t.mp3,A1_i_b.mp3,B1_o_p.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0145,A2_e_d.mp3,B2_o_t.mp3,A1_i_b.mp3,B1_o_p.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0146,A2_e_d.mp3,B2_o_t.mp3,A1_i_b.mp3,B1_u_p.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0147,A2_e_d.mp3,B2_o_t.mp3,A1_i_b.mp3,B1_u_p.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0148,A2_e_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B1_o_p.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0149,A2_e_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B1_o_p.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0150,A2_e_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B1_u_p.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0151,A2_e_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B1_u_p.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0152,A2_e_d.mp3,B2_o_t.mp3,A1_i_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0153,A2_e_d.mp3,B2_o_t.mp3,A1_i_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0154,A2_e_d.mp3,B2_o_t.mp3,A1_i_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0155,A2_e_d.mp3,B2_o_t.mp3,A1_i_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_u_k.mp3
